code_a,desc_a,code_b,desc_b,n_both,n_a,n_b,support,lift,odds_ratio,or_ci_low,or_ci_high,or_adjusted,confounding_ratio,conf_a_to_b,conf_b_to_a,jaccard,leverage,chapter_a,chapter_b,ccsr_desc_a,ccsr_desc_b,same_chapter,obstetric,hospitals_contributing,pct_of_all_hospitals,top10_share_of_pairs,top10_share_of_discharges,concentration,hospital_dispersed
E840,Cystic fibrosis with pulmonary manifestations,K8681,Exocrine pancreatic insufficiency,2537,4088,7183,0.0003581408579146,612.0266187927955,2490.342972451379,2069.5827581577096,2996.646592648782,1942.067648664355,1.2823152551684267,0.6205968688845401,0.3531950438535431,0.2904740096175864,0.0003575556858863,Endocrine/metabolic,Digestive,Cystic fibrosis,Pancreatic disorders (excluding diabetes),False,False,271,5.932574430823117,0.20575482853764288,0.01126710856665309,18.26154663554135,True
N186,End stage renal disease,Z9115,Patient's noncompliance with renal dialysis,15789,216385,16198,0.0022288868764738,31.910431430492167,1319.9542995403272,1015.857786394695,1715.0819496677668,996.5536993549542,1.3245189901905965,0.0729671650068165,0.9747499691319916,0.0728295063516518,0.0021590386551695,Genitourinary,Factors/status,Chronic kidney disease,Unacceptable PDX,False,False,2044,44.74605954465849,0.03166761669516752,0.009406667744241972,3.366507413270971,True
E1043,Type 1 diabetes w diabetic autonomic (poly)neuropathy,K3184,Gastroparesis,11205,12672,53399,0.0015817770252004,117.3005828681036,1271.9999385865035,1097.763203758699,1473.891489734903,941.6642357930344,1.3507998819932594,0.8842329545454546,0.209835390175846,0.2042248386979185,0.0015682922070816,Endocrine/metabolic,Digestive,Diabetes mellitus with complication,Other specified and unspecified disorders of stomach and duodenum,False,False,2272,49.73730297723292,0.027755466309683178,0.015529648261068734,1.7872565973862615,True
E1143,Type 2 diabetes w diabetic autonomic (poly)neuropathy,K3184,Gastroparesis,25172,32579,53399,0.0035534574991829,102.49754111233386,845.4830604886239,783.7721535461949,912.0528234371342,883.8134735557227,0.9566306531706408,0.772644955339329,0.4713945954044083,0.4139723053646021,0.0035187887894693,Endocrine/metabolic,Digestive,Diabetes mellitus with complication,Other specified and unspecified disorders of stomach and duodenum,False,False,2758,60.37653239929948,0.029079930081042427,0.014125741744726176,2.0586480063533212,True
E840,Cystic fibrosis with pulmonary manifestations,J471,Bronchiectasis with (acute) exacerbation,691,4088,5076,9.754644573079016e-05,235.89141984111563,328.3677201836376,260.4067859435505,414.0650915371056,874.384917118885,0.3755413820101283,0.1690313111545988,0.1361308116627265,0.0815531688894134,9.713292307788276e-05,Endocrine/metabolic,Respiratory,Cystic fibrosis,Chronic obstructive pulmonary disease and bronchiectasis,False,False,147,3.2180385288966726,0.41678726483357453,0.010674206870460156,39.04620454630623,False
L89154,"Pressure ulcer of sacral region, stage 4",M4628,"Osteomyelitis of vertebra, sacral and sacrococcygeal region",2849,18334,4129,0.0004021849839175,266.5980306411985,1015.1408624871336,847.2478287717673,1216.3040561402513,802.2347957974046,1.265391214398903,0.1553943492963892,0.689997578106079,0.1452533904354032,0.0004006764019413,Skin,Musculoskeletal,Pressure ulcer of skin,Osteomyelitis,False,False,1231,26.94833625218914,0.053001053001053004,0.013010380720530845,4.0737511176298975,True
G061,Intraspinal abscess and granuloma,M4626,"Osteomyelitis of vertebra, lumbar region",1240,4966,4949,0.0001750471674474,357.4078720142392,634.913735294081,524.2005147162272,769.0100256450654,442.5371100592898,1.4347129785545378,0.2496979460330245,0.2505556678116791,0.1429394812680115,0.0001745573988073,Nervous,Musculoskeletal,CNS abscess,Osteomyelitis,False,False,669,14.645359019264449,0.06693548387096775,0.01529516975693148,4.376249818386871,True
K592,"Neurogenic bowel, not elsewhere classified",N319,"Neuromuscular dysfunction of bladder, unspecified",5534,7401,42860,0.0007812185682694,123.58426570598128,558.877107411603,484.6664080452296,644.4507314804706,432.4754957413625,1.2922746211402314,0.7477367923253614,0.1291180587960802,0.1237283967178661,0.0007748972249835,Digestive,Genitourinary,Other specified and unspecified gastrointestinal disorders,Other specified and unspecified diseases of bladder and urethra,False,False,1056,23.117338003502628,0.12757499096494399,0.009188705787355807,13.88389115042671,True
I462,Cardiac arrest due to underlying cardiac condition,I4901,Ventricular fibrillation,3375,6294,16297,0.0004764388630121,233.0805158803579,632.0770522133695,549.5689519525953,726.9722907658083,429.539541619285,1.471522388440783,0.5362249761677789,0.2070933300607473,0.1756348875936719,0.0004743947673862,Circulatory,Circulatory,Unacceptable PDX,Cardiac arrest and ventricular fibrillation,True,False,1256,27.495621716287214,0.04148148148148148,0.012466322830738565,3.3274833360804212,True
K651,Peritoneal abscess,T8143XA,"Infct fol a procedure, organ and space surgical site, init",3154,17100,6653,0.0004452409404267,196.38786679359356,456.5214691363354,398.57306638739504,522.894970479092,362.2863602309882,1.2601122185369174,0.1844444444444444,0.4740718472869382,0.1531142288460605,0.0004429737894683,Digestive,Injury/poisoning,Peritonitis and intra-abdominal abscess,"Complication of other surgical or medical care, injury, initial encounter",False,False,1346,29.46584938704028,0.05421686746987952,0.013890416238165788,3.9031852278775765,True
