code,coef,odds_ratio,description
M898X9,3.2306811840762064,25.296882937104304,"Other specified disorders of bone, unspecified site"
E839,3.2038411674315466,24.626944968500986,"Disorder of mineral metabolism, unspecified"
E8359,2.770662455473928,15.969209396724963,Other disorders of calcium metabolism
Z9483,2.5788555193081018,13.18204292959368,Pancreas transplant status
E859,2.5697798829150793,13.06294874625291,"Amyloidosis, unspecified"
E8889,2.465107414455723,11.764745787878294,Other specified metabolic disorders
N1370,2.444499338667354,11.524778143403399,"Vesicoureteral-reflux, unspecified"
E8779,2.415411697805713,11.194378109891023,Other fluid overload
Z7682,2.401627462411032,11.041130791953146,Awaiting organ transplant status
E213,2.338451621862655,10.365174920955942,"Hyperparathyroidism, unspecified"
C9001,2.168887520881865,8.748546050294646,Multiple myeloma in remission
K658,2.0806846040151403,8.009950682060156,Other peritonitis
I776,2.0444144015113737,7.7246336793562,"Arteritis, unspecified"
I82C11,2.0062660525167115,7.435501675739644,Acute embolism and thrombosis of right internal jugular vein
M899,1.9721735893071806,7.18627954526273,"Disorder of bone, unspecified"
E8770,1.807859601304672,6.097382625454306,"Fluid overload, unspecified"
E875,1.7834908447138542,5.9505927992084455,Hyperkalemia
K659,1.7330122747788443,5.657670724728885,"Peritonitis, unspecified"
A412,1.7201237038027757,5.585219334414544,Sepsis due to unspecified staphylococcus
E211,1.691949624936758,5.430056966379479,"Secondary hyperparathyroidism, not elsewhere classified"
