code_a,code_b,n_both,n_a,n_b,support,lift,conf_a_to_b,conf_b_to_a,leverage,jaccard,odds_ratio,se_log_or,or_ci_low,or_ci_high,z_stat,z_crit,desc_a,ccsr_a,ccsr_desc_a,chapter_a,desc_b,ccsr_b,ccsr_desc_b,chapter_b,same_ccsr,same_icd3,same_chapter,definitional,context_code,wrapper_code,adverse_effect_pair,same_concept_text,structural,obstetric
E785,I10,795003,1768237,1922540,0.112228244566303,1.6566070560711992,0.4496020612621498,0.41351701395029494,0.04448239973544556,0.2745390351595118,3.034104186606699,0.0018468951831518514,3.0049583463523613,3.063532719632856,600.9632978350152,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,False,False,False,False,False,False,False,False,False,False
E785,I2510,608033,1768237,1067226,0.0858342373907808,2.282426900351663,0.34386397298552174,0.5697321841859175,0.04822767159997455,0.27297513277633867,5.542548341192379,0.002211381762281083,5.478859384407961,5.606977649741954,774.3820689807008,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,Athscl heart disease of native coronary artery w/o ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Circulatory,False,False,False,False,False,False,False,False,False,False
E785,K219,512100,1768237,1192577,0.07229165681438153,1.720261501930804,0.28961049904509406,0.4294062354045064,0.03026801288975605,0.20913018016803922,2.776914836938432,0.0021057385084291757,2.7465215556144926,2.807644453343284,485.0272417382435,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,Gastro-esophageal reflux disease without esophagitis,DIG004,Esophageal disorders,Digestive,False,False,False,False,False,False,False,False,False,False
I10,K219,490246,1922540,1192577,0.06920659165519095,1.5146728564843344,0.2549991157531183,0.41108121320468194,0.02351580677123622,0.18676955934215433,2.1730570248366115,0.002094294274875026,2.149401511193079,2.19697288226553,370.59497926715636,5.226346176164583,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,Gastro-esophageal reflux disease without esophagitis,DIG004,Esophageal disorders,Digestive,False,False,False,False,False,False,False,False,False,False
E785,Z87891,484416,1768237,1189002,0.06838358763404695,1.6321573227290989,0.27395422672413255,0.40741394884112897,0.026485918407097624,0.19589594564592774,2.469297627766103,0.002116461532769689,2.4421343445767354,2.496763041735157,427.096705977142,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
E785,Z7982,455844,1768237,878735,0.06435016209508873,2.0781861295595268,0.25779575927887494,0.518750248937393,0.03338558140628979,0.2080407899492864,4.018558386292062,0.002350480148594114,3.9694946920673675,4.0682285169218195,591.7613168406007,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,Long term (current) use of aspirin,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
I10,Z87891,445359,1922540,1189002,0.06287002536066422,1.380126392882902,0.23165135705889084,0.3745653918159936,0.01731620819951491,0.16703992186582842,1.7910209906414083,0.0021197731973511824,1.7712883701375266,1.8109734377520212,274.92839507826517,5.226346176164583,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
I10,Z79899,407798,1922540,1032658,0.057567649024782584,1.455056277106067,0.2121141822796925,0.3949013129225746,0.018003784773925044,0.16008400722305097,1.954499706122004,0.002221073102014937,1.9319428584426228,1.9773199215169504,301.71643395403817,5.226346176164583,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,Other long term (current) drug therapy,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
E785,Z79899,378123,1768237,1032658,0.05337851620703845,1.4669074180682797,0.21384180966691682,0.36616479027906623,0.016990046457985852,0.15607040200233452,1.9370111193151642,0.0022597233236556617,1.9142693867192158,1.960023026216283,292.5783515043801,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,Other long term (current) drug therapy,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
I10,Z7982,369899,1922540,878735,0.05221755821906447,1.551016599242453,0.19240119841459735,0.4209448809937012,0.018550891953488358,0.15213566309776852,2.178281977824356,0.0023511082450392135,2.151679665605007,2.2052131879864274,331.13595861686906,5.226346176164583,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,Long term (current) use of aspirin,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
E785,N179,355649,1768237,899456,0.05020592746412415,1.5840460120918596,0.20113197495584584,0.3954045556425217,0.01851118685629092,0.15382449468954743,2.209225625361607,0.002359688442736782,2.1821475568088267,2.2366397031793253,335.9096243415218,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,"Acute kidney failure, unspecified",GEN002,Acute and unspecified renal failure,Genitourinary,False,False,False,False,False,False,False,False,False,False
