_key,code_a,desc_a,code_b,desc_b,n_both,lift,odds_ratio,or_adjusted,confounding_ratio,chapter_a,chapter_b,ccsr_desc_a,ccsr_desc_b,code_pairs_in_group,max_lift_in_group
Cystic fibrosis | Pancreatic disorders (excluding diabetes),E840,Cystic fibrosis with pulmonary manifestations,K8681,Exocrine pancreatic insufficiency,2537,612.0266187927955,2490.342972451379,1942.067648664355,1.2823152551684267,Endocrine/metabolic,Digestive,Cystic fibrosis,Pancreatic disorders (excluding diabetes),2,612.0266187927955
Diabetes mellitus with complication | Other specified and unspecified disorders of stomach and duodenum,E1143,Type 2 diabetes w diabetic autonomic (poly)neuropathy,K3184,Gastroparesis,25172,102.49754111233386,845.4830604886239,883.8134735557227,0.9566306531706408,Endocrine/metabolic,Digestive,Diabetes mellitus with complication,Other specified and unspecified disorders of stomach and duodenum,14,117.3005828681036
Osteomyelitis | Pressure ulcer of skin,L89154,"Pressure ulcer of sacral region, stage 4",M4628,"Osteomyelitis of vertebra, sacral and sacrococcygeal region",2849,266.5980306411985,1015.1408624871336,802.2347957974046,1.265391214398903,Skin,Musculoskeletal,Pressure ulcer of skin,Osteomyelitis,2,266.5980306411985
CNS abscess | Osteomyelitis,G061,Intraspinal abscess and granuloma,M4626,"Osteomyelitis of vertebra, lumbar region",1240,357.4078720142392,634.913735294081,442.5371100592898,1.4347129785545378,Nervous,Musculoskeletal,CNS abscess,Osteomyelitis,1,357.4078720142392
Other specified and unspecified diseases of bladder and urethra | Other specified and unspecified gastrointestinal disorders,K592,"Neurogenic bowel, not elsewhere classified",N319,"Neuromuscular dysfunction of bladder, unspecified",5534,123.58426570598128,558.877107411603,432.4754957413625,1.2922746211402314,Digestive,Genitourinary,Other specified and unspecified gastrointestinal disorders,Other specified and unspecified diseases of bladder and urethra,1,123.58426570598128
"Complication of other surgical or medical care, injury, initial encounter | Peritonitis and intra-abdominal abscess",K651,Peritoneal abscess,T8143XA,"Infct fol a procedure, organ and space surgical site, init",3154,196.3878667935936,456.5214691363354,362.2863602309882,1.2601122185369174,Digestive,Injury/poisoning,Peritonitis and intra-abdominal abscess,"Complication of other surgical or medical care, injury, initial encounter",3,196.3878667935936
CNS abscess | Spondylopathies/spondyloarthropathy (including infective),G061,Intraspinal abscess and granuloma,M4646,"Discitis, unspecified, lumbar region",779,298.7935111216612,447.94198653391777,313.1386600252121,1.430490845486316,Nervous,Musculoskeletal,CNS abscess,Spondylopathies/spondyloarthropathy (including infective),2,298.7935111216612
Diseases of white blood cells | Unacceptable PDX,D709,"Neutropenia, unspecified",R5081,Fever presenting with conditions classified elsewhere,11579,126.80230837511712,427.8556095468505,300.11828638143754,1.4256232591007942,Blood/immune,Symptoms/signs,Diseases of white blood cells,Unacceptable PDX,2,126.80230837511712
Chronic kidney disease | Hypotension,I953,Hypotension of hemodialysis,N186,End stage renal disease,5496,30.137820279622108,377.18874236973926,266.8407904727744,1.413534796166119,Circulatory,Genitourinary,Hypotension,Chronic kidney disease,3,31.67970535657684
Endocrine system cancers - thyroid | Secondary malignancies,C73,Malignant neoplasm of thyroid gland,C770,"Sec and unsp malig neoplasm of nodes of head, face and neck",793,233.7731241556741,337.3266409005745,266.76341420063324,1.2645161328114902,Neoplasm,Neoplasm,Endocrine system cancers - thyroid,Secondary malignancies,1,233.7731241556741
Biliary tract disease | Unacceptable PDX,K8000,Calculus of gallbladder w acute cholecyst w/o obstruction,K82A1,Gangrene of gallbladder in cholecystitis,2369,142.0675443600912,296.8891763530346,261.9238444872612,1.1334942679015003,Digestive,Digestive,Biliary tract disease,Unacceptable PDX,4,142.0675443600912
