code,description,prevalence_pct,roc_auc,avg_precision,ap_baseline,lift_over_chance,features_dropped_as_leaky,filter
Z992,Dependence on renal dialysis,2.34,0.9875266995559336,0.7414886619153556,0.0234,31.687549654502373,36591,uniform automatic
Z9911,Dependence on respirator [ventilator] status,0.27599999999999997,0.9671343996386548,0.10599706114607184,0.00276,38.40473229930139,36043,uniform automatic
R6521,Severe sepsis with septic shock,1.7530000000000001,0.948925575202089,0.3691235937625074,0.01753,21.0566796213638,36601,uniform automatic
Z515,Encounter for palliative care,2.838,0.9485724052267915,0.42790590108171117,0.02838,15.077727310842537,35969,uniform automatic
Z992*,Dependence on renal dialysis (hand-tuned renal filter),2.34,0.945271489608987,0.3647483745755692,0.0234,15.587537375024324,36027,hand-tuned for this condition
E669,"Obesity, unspecified",7.519000000000001,0.9149339379910574,0.5937071150315066,0.07519,7.8960914354502805,35941,uniform automatic
Z930,Tracheostomy status,0.338,0.9032468500929591,0.13611196180923146,0.00338,40.26981118616315,36573,uniform automatic
Z66,Do not resuscitate,6.6739999999999995,0.9032138389280053,0.4756412714480865,0.06674,7.126779614145738,36557,uniform automatic
I509,"Heart failure, unspecified",2.91,0.8945448266195782,0.15860617652375394,0.0291,5.450384072981235,36002,uniform automatic
F1120,"Opioid dependence, uncomplicated",1.061,0.8774411253636712,0.0916234385967107,0.01061,8.635573854543892,35990,uniform automatic
E119,Type 2 diabetes mellitus without complications,8.12,0.8771901860908746,0.4110492616669347,0.0812,5.0621830254548605,36003,uniform automatic
N390,"Urinary tract infection, site not specified",6.4879999999999995,0.8745156656275953,0.4121560161522331,0.06488,6.35258964476315,35993,uniform automatic
G4733,Obstructive sleep apnea (adult) (pediatric),6.665,0.8517387001970936,0.3398680467577639,0.06665,5.09929552524777,35989,uniform automatic
J449,"Chronic obstructive pulmonary disease, unspecified",7.481,0.8320443191978432,0.2742334099762559,0.07481,3.6657319873847864,35977,uniform automatic
I4891,Unspecified atrial fibrillation,4.999,0.8309686010632933,0.18185942021751716,0.04999,3.637915987547853,35952,uniform automatic
F17210,"Nicotine dependence, cigarettes, uncomplicated",11.214,0.809301262097716,0.3564151724389055,0.11214,3.178305443542942,36600,uniform automatic
D649,"Anemia, unspecified",7.5969999999999995,0.7068268649121033,0.14742158982110204,0.07597,1.940523757023852,35954,uniform automatic
