target,code,odds_ratio,description
Z992,I1311,830.0868556593531,"Hyp hrt and chr kdny dis w/o hrt fail, w stg 5 chr kdny/ESRD"
Z992,I120,526.630340452863,Hyp chr kidney disease w stage 5 chr kidney disease or ESRD
Z992,N028,195.4795436377541,Recurrent and persistent hematuria w oth morphologic changes
Z992,I132,127.94749970669793,Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD
Z992,Q612,48.39485074055817,"Polycystic kidney, adult type"
Z992,T8612,44.52970616787159,Kidney transplant failure
Z992,M3214,32.72737754791904,Glomerular disease in systemic lupus erythematosus
Z992,I953,27.251818712394268,Hypotension of hemodialysis
Z9911,J0410,289.856860704862,Acute tracheitis without obstruction
Z9911,J9610,213.3741357086876,"Chronic respiratory failure, unsp w hypoxia or hypercapnia"
Z9911,J386,154.6773590533604,Stenosis of larynx
Z9911,J9620,101.23576847181198,"Acute and chr resp failure, unsp w hypoxia or hypercapnia"
Z9911,T794XXA,95.57202152879597,"Traumatic shock, initial encounter"
Z9911,Y833,82.95615083829259,"Form of external stoma cause abn react/compl, w/o misadvnt"
Z9911,J22,67.26687667962538,Unspecified acute lower respiratory infection
Z9911,J9691,56.3186395223094,"Respiratory failure, unspecified with hypoxia"
Z930,C329,343.10471069494884,"Malignant neoplasm of larynx, unspecified"
Z930,J0410,177.1965676083266,Acute tracheitis without obstruction
Z930,J386,152.79658034115917,Stenosis of larynx
Z930,J3800,129.8130221140775,"Paralysis of vocal cords and larynx, unspecified"
Z930,L89890,129.02317314071777,"Pressure ulcer of other site, unstageable"
Z930,J9610,91.7929831560137,"Chronic respiratory failure, unsp w hypoxia or hypercapnia"
Z930,P271,58.00505772683421,Bronchopulmonary dysplasia origin in the perinatal period
Z930,J398,57.546655948228604,Other specified diseases of upper respiratory tract
I509,I219,11.38231534577979,"Acute myocardial infarction, unspecified"
I509,K5791,5.870665610334119,"Dvrtclos of intest, part unsp, w/o perf or abscess w bleed"
I509,Y92099,5.297929063032831,Unsp place in oth non-institutional residence as place
I509,I132,3.9033197538586855,Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD
I509,T461X5A,3.7636584845855956,"Adverse effect of calcium-channel blockers, init encntr"
I509,I421,3.545552694159251,Obstructive hypertrophic cardiomyopathy
I509,I059,3.4820735887926335,"Rheumatic mitral valve disease, unspecified"
I509,J95851,3.4460279661734927,Ventilator associated pneumonia
J449,O9952,42.20207995440528,Diseases of the respiratory system complicating childbirth
J449,C3432,3.6142021198903134,"Malignant neoplasm of lower lobe, left bronchus or lung"
J449,F17210,3.567039813328651,"Nicotine dependence, cigarettes, uncomplicated"
J449,C3411,3.4415157635934785,"Malignant neoplasm of upper lobe, right bronchus or lung"
J449,J9610,3.441501131686529,"Chronic respiratory failure, unsp w hypoxia or hypercapnia"
J449,C3490,3.3889094560632818,Malignant neoplasm of unsp part of unsp bronchus or lung
J449,F17200,3.3176573025076865,"Nicotine dependence, unspecified, uncomplicated"
J449,C3412,3.195042696212026,"Malignant neoplasm of upper lobe, left bronchus or lung"
E119,Z7984,11.657742290451578,Long term (current) use of oral hypoglycemic drugs
E119,O660,4.419118603788261,Obstructed labor due to shoulder dystocia
E119,Z794,4.347349619749278,Long term (current) use of insulin
E119,I10,3.089406348566135,Essential (primary) hypertension
E119,I119,2.6828105279530514,Hypertensive heart disease without heart failure
E119,D120,2.602576028108618,Benign neoplasm of cecum
E119,O99214,2.4982220266213573,Obesity complicating childbirth
E119,I110,2.4223541826310573,Hypertensive heart disease with heart failure
F17210,O99334,4457.211149868458,Smoking (tobacco) complicating childbirth
F17210,O99333,192.73932964565589,"Smoking (tobacco) complicating pregnancy, third trimester"
